,H1,H2,H3,H4,H5,rad,win,mot,n_mot
119,12.920160888000638,40.199999621162476,-274.9505511504187,-421.25585255829134,-196.56707007862897,1.2,12.0,16.0,1
120,22.998526564355416,-387.31108369761336,-194.5169287146485,-1.4925656972409769,-76.42016143625189,1.2,12.0,17.0,3
121,34.181969999575955,28.046057664244167,-0.020863428531585626,41.87021952024833,35.70234189065255,1.2,12.0,19.0,1
122,-180.6233302730957,82.80072310401383,78.51030400796978,107.28086115676254,101.18034659674777,1.2,14.0,0.0,1
123,-226.04168117200288,283.0367145842424,414.3239652206553,262.61706313006925,0.9593553629521949,1.2,14.0,1.0,2
124,192.10545496014322,600.2705266841965,327.35263229927494,416.4270997267663,647.0325255236156,1.2,14.0,2.0,3
125,61.05253820670268,408.42356129650767,26.81031829699259,8.39648039090389,38.64628053205946,1.2,14.0,4.0,4
126,-12.723015192109749,-2.9647800623175087,-14.597714722741316,-12.128414279326371,-64.06097410019933,1.2,14.0,5.0,1
127,-64.42769420897511,211.6290478527095,133.46151394951966,-15.072132694567218,34.09046417468445,1.2,14.0,6.0,5
128,29.423971924231104,-54.08965999975527,32.17068299419661,58.68958815535734,15.054305101166655,1.2,14.0,9.0,1
129,-3.4609751933999178,-32.26722329879159,25.190384344774884,-8.319043045150199,-2.0580060192364975,1.2,14.0,10.0,6
130,33.32410438866279,-79.72843785833325,28.999703981795456,8.970213458781707,14.334402240991022,1.2,14.0,11.0,2
131,13.265040887727423,297.5180286401311,-1.715004012088329,361.61250412791264,147.56159260282072,1.2,14.0,12.0,2
132,441.30109940298246,31.417633573840394,144.24707198147487,-25.876643940249178,-20.55909840583712,1.2,14.0,14.0,1
133,28.0909645746516,56.151766254834534,59.936909562881866,-45.87166969322048,-27.546049504922788,1.2,14.0,16.0,1
134,-2.760047631045472,32.15212072039096,25.632868075050375,32.1536661155263,12.549897845207097,1.2,14.0,18.0,1
135,11.977950914785612,-24.46836984890792,-6.805237742637363,-70.08938690682938,-28.622943571597872,1.2,14.0,19.0,1
136,274.74250141248626,454.17156240519597,639.6369244527069,627.2059543045144,673.5423092908493,1.2,16.0,1.0,3
137,-41.193629806233574,-1923.3666954829832,-27.870511721439726,95.46598947574913,92.85478508069562,1.2,16.0,2.0,1
138,8.380546884425158,-37.922922717798,295.75845390890015,21.92058847286441,20.389363799661375,1.2,16.0,3.0,5
139,-31.675994469350595,30.34000882278551,56.858913983946245,13.317337832353548,61.25263303269697,1.2,16.0,5.0,1
140,46.444765489581286,-60.82933290700258,-42.25183050376077,31.797201257518267,53.31078235777459,1.2,16.0,7.0,1
141,916.8196232125812,281.0315980220296,-119.9668384158184,-7.829136909917537,92.05320443730217,1.2,16.0,9.0,1
142,-42.63890653862591,-75.67493607405436,5.707940714707455,-1.7157986769777178,-43.65524810352784,1.2,16.0,11.0,2
143,163.7809084761997,98.78805639502184,99.57832212385685,134.240099228951,476.52388253180567,1.2,16.0,12.0,2
144,116.86549161655756,158.26640625749354,182.26161677437003,166.1326283440396,155.71850770293062,1.2,16.0,14.0,1
145,4.870139587367309,-5.331760576756054,4.897602126552501,5.361967817300849,-2.315362506156525,1.2,16.0,15.0,4
146,9.975561480176935,-121.67527062536952,-71.82839003380889,21.326806217527917,-25.662964289620987,1.2,16.0,16.0,1
147,-97.9337909253579,109.52984057802361,77.03349035077194,97.73445482133174,-97.80252055489004,1.2,16.0,18.0,5
148,62.220586196391864,44.32969590186346,70.16460023986744,72.05795333923291,3.433140549046932,1.2,16.0,19.0,6
149,268.14208426187406,453.32456659561757,917.857156816021,652.0392129056938,670.2495485340121,1.2,18.0,0.0,3
150,-41.193629806233574,-1923.3666954829832,-27.870511721439726,95.46598947574913,92.85478508069562,1.2,18.0,1.0,1
151,32.85693128330925,-26.2852392384033,713.3671334670191,132.95850721963953,64.20202553355662,1.2,18.0,2.0,4
152,-715.2772531561993,-107.25158665620684,71.91671204021794,-3.053543532906872,-171.01217778707723,1.2,18.0,3.0,2
153,27.43570796171127,23.442171560639345,-117.12593015678257,3.163640621101443,-14.17061597689455,1.2,18.0,5.0,1
154,-27.09692088163622,25.83541767962648,62.06968593634099,8.895512801592737,66.48915150682629,1.2,18.0,10.0,1
155,-24.274386326515263,-20.903132823543363,-59.86954046454086,11.699631905905717,-21.070674085447852,1.2,18.0,11.0,3
156,79.20119741320435,18.52625457824788,46.86119106024228,41.88315552467289,58.35284147169591,1.2,18.0,12.0,3
157,-163.33028488233484,116.1091552605061,6.385232069509527,56.57304814529055,-123.54815395632477,1.2,18.0,13.0,4
158,2.7369220371375285,86.79195271124567,136.75908555957324,305.2561647583172,-351.30560057661535,1.2,18.0,14.0,3
159,42.91305823279116,1.7075388511632639,66.7426198515576,93.35092378120132,93.62121097346085,1.2,18.0,15.0,4
160,14.20494342245166,0.39837963093486906,3.26673343999952,11.020134373450741,6.780224237490572,1.2,18.0,16.0,2
161,-74.04439450022608,117.6266434999378,110.29107225640261,96.42997873956315,62.36487792978815,1.2,18.0,18.0,3
162,4.656234131923814,-2602.9689423229743,-3238.3463261482752,13.02478451720909,-7596.343361971186,1.2,10.0,0.0,1
163,32.888320887652014,-30.145987540056048,-30.84291462223601,23.666262386989292,-90.29308720910973,1.2,10.0,1.0,2
164,10362.71547387265,22169.836976492435,32853.7597850813,35256.32513139458,32590.20558605246,1.2,10.0,2.0,1
165,47.38088705808043,-9.92676042292284,2.39084259425357,24.440248183259556,-49.140548694064435,1.2,10.0,3.0,4
166,24.471408905051476,36.50899780304638,-9.828164346460184,51.049438141575536,-132.43940722281863,1.2,10.0,5.0,2
167,129.67629639142842,50.092268823091366,43.25263757029975,117.13243105142267,84.70615667085573,1.2,10.0,7.0,2
168,126.74236005059373,-18.87024588229084,121.81136600487469,78.05985072392457,-14.95010992001621,1.2,10.0,11.0,7
169,5.83007099808321,-1.7736399429652465,-12.131988808878148,-111.48006764355773,32.82205198443931,1.2,10.0,12.0,2
170,49.52630898729842,-57.021155556086434,-35.58709793076912,20.204432949829336,-72.19709833710678,1.2,10.0,13.0,4
171,262.9962663208354,-204.52707648829636,-127.55530737045675,-92.67756573091367,-184.1798033405369,1.2,10.0,15.0,2
172,146.44135854729586,31.144604296291135,6.600449270757196,62.35555618447589,45.81755876950096,1.2,10.0,16.0,4
